Date and Time (UTC),Receiver,Transmitter,Transmitter Name,Transmitter Serial,Sensor Value,Sensor Unit,Station Name,Latitude,Longitude
2009-03-10 22:59:38,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-14 22:14:27,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-14 22:16:49,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-14 22:17:57,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-14 22:19:02,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-14 22:20:00,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-14 22:21:46,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-14 22:22:40,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-14 22:23:15,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-14 22:24:54,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-15 01:42:22,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-15 01:44:32,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-15 01:45:26,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-15 01:46:01,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-15 01:46:49,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-15 01:47:14,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-15 01:47:39,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-15 01:48:06,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-15 01:48:37,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-15 01:49:17,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-15 01:50:13,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-15 01:50:54,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-15 01:51:54,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-15 01:52:40,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-15 01:53:49,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-15 01:54:55,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-15 01:55:56,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-15 01:57:13,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-15 01:57:44,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-15 01:58:24,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-15 01:59:21,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-15 02:00:02,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
