Date and Time (UTC),Receiver,Transmitter,Transmitter Name,Transmitter Serial,Sensor Value,Sensor Unit,Station Name,Latitude,Longitude
2012-05-17 06:32:40,VR2W-106702,A69-1303-61979,,,,,Kaneohe Midbay,+21.46288,-157.81975
2012-05-17 06:33:08,VR2W-106702,A69-1303-61979,,,,,Kaneohe Midbay,+21.46288,-157.81975
2012-05-17 06:33:27,VR2W-106702,A69-1303-61979,,,,,Kaneohe Midbay,+21.46288,-157.81975
2012-05-17 06:33:50,VR2W-106702,A69-1303-61979,,,,,Kaneohe Midbay,+21.46288,-157.81975
2012-05-17 06:34:23,VR2W-106702,A69-1303-61979,,,,,Kaneohe Midbay,+21.46288,-157.81975
2012-05-17 06:34:51,VR2W-106702,A69-1303-61979,,,,,Kaneohe Midbay,+21.46288,-157.81975
2012-05-17 06:35:28,VR2W-106702,A69-1303-61979,,,,,Kaneohe Midbay,+21.46288,-157.81975
2012-05-17 06:37:24,VR2W-106702,A69-1303-61979,,,,,Kaneohe Midbay,+21.46288,-157.81975
2012-05-17 06:41:25,VR2W-106702,A69-1303-61979,,,,,Kaneohe Midbay,+21.46288,-157.81975
2012-05-17 06:42:48,VR2W-106702,A69-1303-61979,,,,,Kaneohe Midbay,+21.46288,-157.81975
2012-05-17 06:43:10,VR2W-106702,A69-1303-61979,,,,,Kaneohe Midbay,+21.46288,-157.81975
2012-05-17 08:18:47,VR2W-106702,A69-1303-61979,,,,,Kaneohe Midbay,+21.46288,-157.81975
2012-05-17 08:20:23,VR2W-106702,A69-1303-61979,,,,,Kaneohe Midbay,+21.46288,-157.81975
2012-05-17 08:22:47,VR2W-106702,A69-1303-61979,,,,,Kaneohe Midbay,+21.46288,-157.81975
2012-05-17 08:24:09,VR2W-106702,A69-1303-61979,,,,,Kaneohe Midbay,+21.46288,-157.81975
2012-05-17 08:24:32,VR2W-106702,A69-1303-61979,,,,,Kaneohe Midbay,+21.46288,-157.81975
2012-05-17 08:25:05,VR2W-106702,A69-1303-61979,,,,,Kaneohe Midbay,+21.46288,-157.81975
2012-05-17 08:25:33,VR2W-106702,A69-1303-61979,,,,,Kaneohe Midbay,+21.46288,-157.81975
