,Station.Name,Latitude,Longitude
1,Kaneohe Midbay,21.46288,-157.81975
2,HIMB Reef 8 North,21.44608,-157.79545
3,HIMB East Wall,21.435703,-157.78654
4,HIMB Point Lab,21.432903,-157.78626
5,HIMB Reef 3 North,21.437792,-157.7933
6,HIMB SE Wall,21.431275,-157.78691
7,HIMB SW Wall,21.430419,-157.79013
8,HIMB South Point,21.429742,-157.78835
9,HIMB Lighthouse Channel,21.432292,-157.79027
10,HIMB West Cove,21.435108,-157.79115
11,HIMB Dolphin Wall,21.433178,-157.79146
12,HIMB Reef 3 South,21.434362,-157.79351
13,HIMB Reef 3 North,21.43779,-157.7933
14,HIMB Reef 8 East,21.44353,-157.79193
15,HIMB SE Wall,21.43127,-157.78691
16,HIMB Point Lab,21.4329,-157.78626
17,HIMB Reef 8 West,21.44196,-157.79625
18,HIMB Reef 8 South,21.43995,-157.79244
19,HIMB Reef 3 South,21.43436,-157.79351
20,HIMB Dolphin Wall,21.43318,-157.79146
21,HIMB Poachers Cove,21.43419,-157.79082
22,HIMB South Point,21.42974,-157.78835
23,Kipapa Deep,21.50943,-157.76587
24,KBay Green Buoy 23,21.44778,-157.79155
25,Reef 44,21.4767,-157.8299
28,Kipapa Mid,21.4972,-157.77452
29,HIMB South East,21.43453,-157.78382
30,Lilipuna,21.43198,-157.79349
31,Turtle Cave,21.47416,-157.7739
32,HIMB South East,19.87667,-156.193
33,Lilipuna,21.43198,-157.79349
34,Outer North K Bay,21.50158,-157.79359
35,Jimmy Hall Tour Mooring,21.641667,-158.12233
36,FAD U,21.58167,-157.69167
38,HIMB NW Wall,21.43675,-157.79121
39,GR5,21.49969,-157.827
40,Turtle Cave,21.473889,-157.77861
41,Outer North K Bay,21.50056,-157.79306
42,GR5,21.49908,-157.82785
43,HIMB North Cove,21.43773,-157.78981
45,Kipapa Shallow,21.48997,-157.77931
46,HIMB West Cove,21.43511,-157.79115
47,Joe Pavsek Tour Mooring,21.62387,-158.1492
52,FAD U,21.58167,-157.69167
53,FAD X,21.86333,-157.99333
54,Turtle Cave,21.47389,-157.77861
55,Moku Manu,21.4768,-157.71225
56,Reef 44,21.47669,-157.82991
57,GR5,21.49969,-157.82703
